UserId,Department/Region,Young women,"Young people not in employment, education or training (NEET) ",Young migrant workers ,Young refugees ,Young people - sexual orientation and gender identity ,Young people with disabilities ,Young rural workers  ,Young indigenous people ,Other,Other (elaborated answ)
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0028,Region: Asia and the Pacific,YES,YES,,,,YES,,,YES,HIV positive Youth and Yoth from HIV affected families
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,YES,YES,YES,YES,,,YES,YES,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,YES,YES,YES,,,YES,YES,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,
USR-202506-0032,Region: Asia and the Pacific,,YES,YES,,,,,,,
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,YES,YES,YES,,
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",YES,YES,,YES,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
